Large category	Small category	ID	Name
Secondary metabolism	Aromatics degradation	M00544	Carbazole degradation, carbazole => 2-oxopent-4-enoate + anthranilate
Secondary metabolism	Aromatics degradation	M00418	Toluene degradation, anaerobic, toluene => benzoyl-CoA
Secondary metabolism	Aromatics degradation	M00541	Benzoyl-CoA degradation, benzoyl-CoA => 3-hydroxypimeloyl-CoA
Secondary metabolism	Aromatics degradation	M00540	Benzoate degradation, cyclohexanecarboxylic acid =>pimeloyl-CoA
Secondary metabolism	Aromatics degradation	M00534	Naphthalene degradation, naphthalene => salicylate
Secondary metabolism	Aromatics degradation	M00638	Salicylate degradation, salicylate => gentisate
Secondary metabolism	Aromatics degradation	M00624	Terephthalate degradation, terephthalate => 3,4-dihydroxybenzoate
Secondary metabolism	Aromatics degradation	M00623	Phthalate degradation, phthalate => protocatechuate
Secondary metabolism	Aromatics degradation	M00636	Phthalate degradation, phthalate => protocatechuate
Secondary metabolism	Aromatics degradation	M00810	Nicotine degradation, pyridine pathway, nicotine => 2,6-dihydroxypyridine/succinate semialdehyde
Secondary metabolism	Aromatics degradation	M00811	Nicotine degradation, pyrrolidine pathway, nicotine => succinate semialdehyde
Secondary metabolism	Biosynthesis of secondary metabolites	M00039	Monolignol biosynthesis, phenylalanine/tyrosine => monolignol
Secondary metabolism	Biosynthesis of secondary metabolites	M00137	Flavanone biosynthesis, phenylalanine => naringenin
Secondary metabolism	Biosynthesis of secondary metabolites	M00138	Flavonoid biosynthesis, naringenin => pelargonidin
Secondary metabolism	Biosynthesis of secondary metabolites	M00369	Cyanogenic glycoside biosynthesis, tyrosine => dhurrin
Secondary metabolism	Biosynthesis of secondary metabolites	M00370	Glucosinolate biosynthesis, tryptophan => glucobrassicin
Secondary metabolism	Biosynthesis of secondary metabolites	M00661	Paspaline biosynthesis, geranylgeranyl-PP + indoleglycerol phosphate => paspaline
Secondary metabolism	Biosynthesis of secondary metabolites	M00672	Penicillin biosynthesis, aminoadipate + cycteine + valine => penicillin
Secondary metabolism	Biosynthesis of secondary metabolites	M00673	Cephamycin C biosynthesis, aminoadipate + cycteine + valine => cephamycin C
Secondary metabolism	Biosynthesis of secondary metabolites	M00675	Carbapenem-3-carboxylate biosynthesis, pyrroline-5-carboxylate + malonyl-CoA => carbapenem-3-carboxylate
Secondary metabolism	Biosynthesis of secondary metabolites	M00736	Nocardicin A biosynthesis, L-pHPG + arginine + serine => nocardicin A
Secondary metabolism	Biosynthesis of secondary metabolites	M00674	Clavaminate biosynthesis, arginine + glyceraldehyde-3P => clavaminate
Secondary metabolism	Biosynthesis of secondary metabolites	M00773	Tylosin biosynthesis, methylmalonyl-CoA + malonyl-CoA => tylactone => tylosin
Secondary metabolism	Biosynthesis of secondary metabolites	M00774	Erythromycin biosynthesis, propanoyl-CoA + methylmalonyl-CoA => deoxyerythronolide B => erythromycin A/B
Secondary metabolism	Biosynthesis of secondary metabolites	M00775	Oleandomycin biosynthesis, malonyl-CoA + methylmalonyl-CoA => 8,8a-deoxyoleandolide => oleandomycin
Secondary metabolism	Biosynthesis of secondary metabolites	M00776	Pikromycin/methymycin/neomethymycin biosynthesis, methylmalonyl-CoA + malonyl-CoA => narbonolide/10-deoxymethynolide => pikromycin/methymycin/neomethymycin
Secondary metabolism	Biosynthesis of secondary metabolites	M00777	Avermectin biosynthesis, 2-methylbutanoyl-CoA/isobutyryl-CoA => 6,8a-Seco-6,8a-deoxy-5-oxoavermectin 1a/1b aglycone => avermectin A1a/B1a/A1b/B1b
Secondary metabolism	Biosynthesis of secondary metabolites	M00778	Type II polyketide backbone biosynthesis, acyl-CoA + malonyl-CoA => polyketide
Secondary metabolism	Biosynthesis of secondary metabolites	M00779	Dihydrokalafungin biosynthesis, octaketide => dihydrokalafungin
Secondary metabolism	Biosynthesis of secondary metabolites	M00780	Tetracycline/oxytetracycline biosynthesis, pretetramide => tetracycline/oxytetracycline
Secondary metabolism	Biosynthesis of secondary metabolites	M00823	Chlortetracycline biosynthesis, pretetramide => chlortetracycline
Secondary metabolism	Biosynthesis of secondary metabolites	M00781	Nogalavinone/aklavinone biosynthesis, deoxynogalonate/deoxyaklanonate => nogalavinone/aklavinone
Secondary metabolism	Biosynthesis of secondary metabolites	M00782	Mithramycin biosynthesis, 4-demethylpremithramycinone => mithramycin
Secondary metabolism	Biosynthesis of secondary metabolites	M00783	Tetracenomycin C/8-demethyltetracenomycin C biosynthesis, tetracenomycin F2 => tetracenomycin C/8-demethyltetracenomycin C
Secondary metabolism	Biosynthesis of secondary metabolites	M00784	Elloramycin biosynthesis, 8-demethyltetracenomycin C => elloramycin A
Secondary metabolism	Biosynthesis of secondary metabolites	M00786	Fumitremorgin alkaloid biosynthesis, tryptophan + proline => fumitremorgin C/A
Secondary metabolism	Biosynthesis of secondary metabolites	M00789	Rebeccamycin biosynthesis, tryptophan => rebeccamycin
Secondary metabolism	Biosynthesis of secondary metabolites	M00790	Pyrrolnitrin biosynthesis, tryptophan => pyrrolnitrin
Secondary metabolism	Biosynthesis of secondary metabolites	M00805	Staurosporine biosynthesis, tryptophan => staurosporine
Secondary metabolism	Biosynthesis of secondary metabolites	M00808	Violacein biosynthesis, tryptophan => violacein
Secondary metabolism	Biosynthesis of secondary metabolites	M00814	Acarbose biosynthesis, sedoheptulopyranose-7P => acarbose
Secondary metabolism	Biosynthesis of secondary metabolites	M00815	Validamycin A biosynthesis, sedoheptulopyranose-7P => validamycin A
Secondary metabolism	Biosynthesis of secondary metabolites	M00785	Cycloserine biosynthesis, arginine/serine => cycloserine
Secondary metabolism	Biosynthesis of secondary metabolites	M00787	Bacilysin biosynthesis, prephenate => bacilysin
Secondary metabolism	Biosynthesis of secondary metabolites	M00788	Terpentecin biosynthesis, GGAP => terpentecin
Secondary metabolism	Biosynthesis of secondary metabolites	M00819	Pentalenolactone biosynthesis, farnesyl-PP => pentalenolactone
Secondary metabolism	Biosynthesis of secondary metabolites	M00848	Aurachin biosynthesis, anthranilate => aurachin A
Secondary metabolism	Biosynthesis of secondary metabolites	M00824	9-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 9-membered enediyne core
Secondary metabolism	Biosynthesis of secondary metabolites	M00825	10-membered enediyne core biosynthesis, malonyl-CoA => 3-hydroxyhexadeca-4,6,8,10,12,14-hexaenoyl-ACP => 10-membered enediyne core
Secondary metabolism	Biosynthesis of secondary metabolites	M00826	C-1027 benzoxazolinate moiety biosynthesis, chorismate => benzoxazolinyl-CoA
Secondary metabolism	Biosynthesis of secondary metabolites	M00827	C-1027 beta-amino acid moiety biosynthesis, tyrosine => 3-chloro-4,5-dihydroxy-beta-phenylalanyl-PCP
Secondary metabolism	Biosynthesis of secondary metabolites	M00828	Maduropeptin beta-hydroxy acid moiety biosynthesis, tyrosine => 3-(2-chloro-3-hydroxy-4-methoxyphenyl)-3-hydroxypropanoyl-PCP
Secondary metabolism	Biosynthesis of secondary metabolites	M00829	3,6-Dimethylsalicylyl-CoA biosynthesis, malonyl-CoA => 6-methylsalicylate => 3,6-dimethylsalicylyl-CoA
Secondary metabolism	Biosynthesis of secondary metabolites	M00830	Neocarzinostatin naphthoate moiety biosynthesis, malonyl-CoA => 2-hydroxy-5-methyl-1-naphthoate => 2-hydroxy-7-methoxy-5-methyl-1-naphthoyl-CoA
Secondary metabolism	Biosynthesis of secondary metabolites	M00831	Kedarcidin 2-hydroxynaphthoate moiety biosynthesis, malonyl-CoA => 3,6,8-trihydroxy-2-naphthoate => 3-hydroxy-7,8-dimethoxy-6-isopropoxy-2-naphthoyl-CoA
Secondary metabolism	Biosynthesis of secondary metabolites	M00832	Kedarcidin 2-aza-3-chloro-beta-tyrosine moiety biosynthesis, azatyrosine => 2-aza-3-chloro-beta-tyrosyl-PCP
Secondary metabolism	Biosynthesis of secondary metabolites	M00834	Calicheamicin orsellinate moiety biosynthesis, malonyl-CoA => orsellinate-ACP => 5-iodo-2,3-dimethoxyorsellinate-ACP
Secondary metabolism	Biosynthesis of secondary metabolites	M00833	Calicheamicin biosynthesis, calicheamicinone => calicheamicin
Secondary metabolism	Biosynthesis of secondary metabolites	M00835	Pyocyanine biosynthesis, chorismate => pyocyanine
Secondary metabolism	Biosynthesis of secondary metabolites	M00837	Prodigiosin biosynthesis, L-proline => prodigiosin
Secondary metabolism	Biosynthesis of secondary metabolites	M00838	Undecylprodigiosin biosynthesis, L-proline => undecylprodigiosin
